geo,time,hpi
Luxembourg,2017-Q3,112.28
Luxembourg,2017-Q4,113.5
Luxembourg,2018-Q1,116.84
Luxembourg,2018-Q2,117.9
Luxembourg,2018-Q3,120.78
Luxembourg,2018-Q4,123.92
Luxembourg,2019-Q1,125.0
Luxembourg,2019-Q2,131.35
Luxembourg,2019-Q3,134.41
Luxembourg,2019-Q4,137.19
Luxembourg,2020-Q1,142.67
Luxembourg,2020-Q2,148.74
Luxembourg,2020-Q3,152.97
Luxembourg,2020-Q4,160.08
Luxembourg,2021-Q1,167.17
Luxembourg,2021-Q2,168.74
Luxembourg,2021-Q3,173.22
Luxembourg,2021-Q4,179.48
Luxembourg,2022-Q1,184.34
Luxembourg,2022-Q2,188.4
Luxembourg,2022-Q3,192.3
Luxembourg,2022-Q4,189.35
Luxembourg,2023-Q1,181.2
Luxembourg,2023-Q2,177.25
Luxembourg,2023-Q3,165.52
Luxembourg,2023-Q4,161.96
Luxembourg,2024-Q1,160.9
Luxembourg,2024-Q2,162.41
Luxembourg,2024-Q3,162.44
Luxembourg,2024-Q4,164.25
Luxembourg,2025-Q1,162.54
Luxembourg,2025-Q2,169.75
Luxembourg,2025-Q3,164.42
Latvia,2015-Q1,96.63
Latvia,2015-Q2,100.06
Latvia,2015-Q3,100.4
Latvia,2015-Q4,102.91
Latvia,2016-Q1,103.49
Latvia,2016-Q2,109.52
Latvia,2016-Q3,110.04
Latvia,2016-Q4,110.9
Latvia,2017-Q1,113.11
Latvia,2017-Q2,119.53
Latvia,2017-Q3,119.72
Latvia,2017-Q4,119.69
Latvia,2018-Q1,126.02
Latvia,2018-Q2,129.91
Latvia,2018-Q3,128.34
Latvia,2018-Q4,132.93
Latvia,2019-Q1,134.04
Latvia,2019-Q2,140.19
Latvia,2019-Q3,144.58
Latvia,2019-Q4,144.69
Latvia,2020-Q1,145.77
Latvia,2020-Q2,142.3
Latvia,2020-Q3,147.08
Latvia,2020-Q4,147.92
Latvia,2021-Q1,149.97
Latvia,2021-Q2,159.51
Latvia,2021-Q3,165.31
Latvia,2021-Q4,171.79
Latvia,2022-Q1,176.06
Latvia,2022-Q2,185.56
Latvia,2022-Q3,187.79
Latvia,2022-Q4,186.61
Latvia,2023-Q1,186.4
Latvia,2023-Q2,195.54
Latvia,2023-Q3,193.46
Latvia,2023-Q4,188.14
Latvia,2024-Q1,193.14
